#,Name,Date of birth,From,Died in the area of,Rank,Military Unit,Sources
0,Roman Lysenko Mykhailovych,"June 04, 1980",Chernivtsi Oblast,Chernivtsi Oblast,Senior soldier,Battalion 2,"https://example6.com, https://example7.com, https://example2.com"
1,Yuriy Kovalenko Petrovych,"June 08, 1996","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Colonel,Unknown,"https://example1.com, https://example1.com, https://example4.com"
2,Roman Kravchenko Serhiyovych,"April 03, 1985",Kharkiv Oblast,Donetsk Oblast,Senior soldier,Battalion 2,"https://example1.com, https://example7.com, https://example1.com, https://example7.com, https://example6.com, https://example7.com, https://example6.com, https://example6.com"
3,Volodymyr Hrytsenko Ivanovych,"April 17, 1977",Lviv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example3.com, https://example3.com, https://example3.com"
4,Ihor Bibikov Yuriyovych,"March 31, 1997",Kharkiv Oblast,Kharkiv Oblast,Major,Battalion 1,"https://example9.com, https://example8.com, https://example6.com, https://example2.com, https://example6.com"
5,Oleksandr Shevchenko Romanovych,"November 05, 1997",Kyiv Oblast,Zhytomyr Oblast,Lieutenant,Battalion 1,"https://example3.com, https://example6.com, https://example4.com, https://example3.com, https://example7.com, https://example6.com, https://example10.com"
6,Oleksandr Shevchenko Volodymyrovych,"March 02, 1999",Zhytomyr Oblast,Chernivtsi Oblast,Sergeant,Special Forces,"https://example5.com, https://example6.com, https://example9.com, https://example4.com, https://example8.com, https://example2.com"
7,Andrij Bibikov Mykhailovych,"September 17, 1998",Kharkiv Oblast,Odesa Oblast,Captain,Recon Squad,"https://example1.com, https://example2.com, https://example2.com, https://example4.com"
8,Volodymyr Shevchenko Petrovych,"March 17, 1964","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Battalion 1,"https://example1.com, https://example4.com, https://example5.com, https://example10.com, https://example8.com, https://example8.com"
9,Mykola Tkachuk Ivanovych,"March 15, 1964",Donetsk Oblast,Kyiv Oblast,Major,Battalion 1,"https://example7.com, https://example10.com, https://example9.com, https://example1.com"
10,Serhiy Kravchenko Romanovych,"October 05, 1984",Kyiv Oblast,Donetsk Oblast,Major,Infantry,"https://example8.com, https://example6.com, https://example10.com, https://example3.com, https://example1.com, https://example6.com, https://example9.com, https://example3.com"
11,Serhiy Kovalenko Romanovych,"July 09, 1981",Zhytomyr Oblast,Kyiv Oblast,Colonel,Battalion 1,"https://example8.com, https://example9.com, https://example5.com, https://example4.com, https://example9.com, https://example9.com, https://example9.com"
12,Serhiy Sakalo Serhiyovych,"September 01, 1989","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Infantry,"https://example2.com, https://example5.com, https://example6.com, https://example5.com, https://example5.com, https://example8.com, https://example2.com"
13,Oleksandr Hrytsenko Vasyl'ovych,"October 21, 1967","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Private,Unknown,"https://example2.com, https://example5.com, https://example2.com, https://example5.com"
14,Roman Tkachuk Ivanovych,"September 08, 1964","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Private,Special Forces,"https://example5.com, https://example2.com, https://example4.com, https://example8.com, https://example9.com, https://example9.com, https://example2.com, https://example4.com"
15,Yuriy Kovalenko Volodymyrovych,"January 26, 2000","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Lviv Oblast,Lieutenant,Special Forces,"https://example7.com, https://example8.com, https://example6.com, https://example3.com, https://example1.com, https://example9.com"
16,Dmytro Tkachuk Oleksandrovych,"April 16, 1988","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Zhytomyr Oblast,Lieutenant,Unknown,"https://example5.com, https://example7.com, https://example3.com, https://example8.com"
17,Ihor Kravchenko Mykolayovych,"December 31, 1969",Kharkiv Oblast,Zhytomyr Oblast,Senior soldier,Unknown,"https://example8.com, https://example1.com, https://example8.com"
18,Andrij Hrytsenko Ivanovych,"January 14, 1985","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Captain,Battalion 2,"https://example8.com, https://example10.com, https://example10.com, https://example8.com, https://example4.com, https://example3.com, https://example10.com, https://example8.com"
19,Serhiy Shevchenko Mykolayovych,"January 27, 1977",Chernivtsi Oblast,Donetsk Oblast,Major,Recon Squad,"https://example8.com, https://example1.com, https://example6.com, https://example2.com, https://example1.com"
20,Ihor Tkachuk Petrovych,"July 30, 1982",Lviv Oblast,Chernivtsi Oblast,Private,Battalion 1,"https://example8.com, https://example1.com, https://example3.com"
21,Ihor Hrytsenko Vasyl'ovych,"May 07, 1976",Chernivtsi Oblast,Chernivtsi Oblast,Sergeant,Unknown,"https://example10.com, https://example10.com, https://example10.com"
22,Ihor Tkachuk Mykhailovych,"November 25, 1964",Odesa Oblast,Zhytomyr Oblast,Lieutenant,Unknown,"https://example10.com, https://example4.com, https://example5.com, https://example2.com"
23,Andrij Bondarenko Petrovych,"September 19, 2000",Chernivtsi Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Major,Unknown,"https://example9.com, https://example2.com, https://example8.com, https://example1.com, https://example5.com, https://example10.com, https://example3.com, https://example10.com"
24,Oleksandr Hrytsenko Petrovych,"September 07, 1980",Kharkiv Oblast,Chernivtsi Oblast,Colonel,Unknown,"https://example4.com, https://example3.com, https://example5.com"
25,Dmytro Bibikov Petrovych,"April 22, 1982","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Captain,Battalion 1,"https://example1.com, https://example2.com, https://example3.com, https://example4.com"
26,Oleksandr Shevchenko Mykolayovych,"November 18, 1974","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Private,Battalion 2,"https://example6.com, https://example3.com, https://example3.com, https://example10.com"
27,Volodymyr Kravchenko Romanovych,"August 08, 1965",Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Captain,Special Forces,"https://example4.com, https://example4.com, https://example4.com, https://example3.com, https://example3.com, https://example10.com, https://example4.com, https://example10.com"
28,Oleksandr Lysenko Yuriyovych,"May 31, 1986",Kyiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Battalion 2,"https://example6.com, https://example3.com, https://example2.com"
29,Yuriy Bibikov Oleksandrovych,"November 09, 1999",Lviv Oblast,Odesa Oblast,Lieutenant,Battalion 1,"https://example1.com, https://example1.com, https://example9.com, https://example10.com"
30,Andrij Tkachuk Petrovych,"March 16, 1962",Donetsk Oblast,Lviv Oblast,Sergeant,Battalion 2,"https://example3.com, https://example10.com, https://example7.com, https://example9.com, https://example5.com, https://example1.com, https://example9.com"
31,Dmytro Tkachuk Ivanovych,"May 16, 1987",Donetsk Oblast,Donetsk Oblast,Sergeant,Unknown,"https://example7.com, https://example2.com, https://example3.com, https://example7.com, https://example3.com, https://example6.com, https://example9.com"
32,Ihor Bibikov Oleksandrovych,"January 08, 1989",Odesa Oblast,Chernivtsi Oblast,Sergeant,Battalion 2,"https://example5.com, https://example3.com, https://example8.com"
