#,Name,Date of birth,Date of death,Date of burial,From,Died in the area of,Rank,Military Unit,Sources
0,Volodymyr Zinchenko Mykolayovych,"September 26, 1963",,?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Lieutenant,Battalion 2,"https://example5.com, https://example6.com, https://example7.com, https://example1.com, https://example6.com, https://example7.com, https://example8.com, https://example7.com"
1,Ihor Sakalo Oleksandrovych,"March 11, 1961","December 22, 2024",?,Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Major,Unknown,"https://example8.com, https://example8.com, https://example5.com, https://example9.com, https://example4.com"
2,Oleksandr Lysenko Yuriyovych,"March 25, 2000","October 22, 2022",?,Lviv Oblast,Kyiv Oblast,Colonel,Special Forces,"https://example9.com, https://example4.com, https://example10.com"
3,Andrij Tkachuk Mykolayovych,"June 25, 1976","January 12, 2023","January 31, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Colonel,Infantry,"https://example8.com, https://example9.com, https://example9.com, https://example6.com, https://example2.com, https://example3.com, https://example6.com"
4,Mykola Tkachuk Oleksandrovych,"August 04, 1996",,"March 16, 2022",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example10.com, https://example10.com, https://example8.com, https://example9.com, https://example3.com, https://example1.com, https://example2.com"
5,Mykola Kovalenko Oleksandrovych,"December 13, 1988","November 24, 2024","May 05, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Chernivtsi Oblast,Captain,Recon Squad,"https://example3.com, https://example2.com, https://example6.com"
6,Roman Sakalo Oleksandrovych,"March 08, 1966","November 07, 2024","September 10, 2024",Odesa Oblast,Kyiv Oblast,Colonel,Unknown,"https://example9.com, https://example7.com, https://example9.com, https://example7.com"
7,Roman Sakalo Ivanovych,"September 18, 1996","September 27, 2024",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Sergeant,Special Forces,"https://example9.com, https://example4.com, https://example9.com"
8,Dmytro Kravchenko Ivanovych,"February 20, 1978","March 06, 2024","March 04, 2023",Donetsk Oblast,Zhytomyr Oblast,Senior soldier,Battalion 2,"https://example2.com, https://example7.com, https://example4.com, https://example5.com, https://example4.com"
9,Ihor Sakalo Ivanovych,"March 18, 1995","September 11, 2023",?,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Odesa Oblast,Senior soldier,Recon Squad,"https://example1.com, https://example9.com, https://example3.com, https://example9.com"
10,Ihor Bondarenko Mykhailovych,"January 18, 1994","March 21, 2022","October 24, 2024",Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 1,"https://example10.com, https://example1.com, https://example4.com, https://example9.com"
11,Ihor Tkachuk Romanovych,"September 05, 1980","June 19, 2024",?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Special Forces,"https://example9.com, https://example10.com, https://example9.com, https://example2.com, https://example9.com, https://example1.com, https://example8.com, https://example9.com"
12,Roman Lysenko Yuriyovych,"June 07, 1961","April 01, 2022","March 06, 2022","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Infantry,"https://example3.com, https://example9.com, https://example10.com"
13,Volodymyr Zinchenko Vasyl'ovych,"June 26, 1998","May 17, 2024","June 05, 2024",Donetsk Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Colonel,Unknown,"https://example8.com, https://example9.com, https://example10.com, https://example4.com, https://example6.com"
14,Yuriy Kovalenko Mykhailovych,"July 28, 1963","July 26, 2022",?,Kyiv Oblast,Odesa Oblast,Major,Battalion 2,"https://example3.com, https://example10.com, https://example9.com, https://example9.com, https://example9.com, https://example10.com"
15,Dmytro Hrytsenko Mykolayovych,"September 09, 1994","May 12, 2023","July 23, 2024","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Battalion 1,"https://example2.com, https://example7.com, https://example6.com, https://example8.com, https://example7.com, https://example7.com, https://example1.com, https://example7.com"
16,Andrij Kravchenko Mykhailovych,"April 14, 1997","May 01, 2024","July 04, 2022",Zhytomyr Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Special Forces,"https://example1.com, https://example2.com, https://example9.com, https://example4.com, https://example10.com"
17,Serhiy Lysenko Vasyl'ovych,"October 09, 1982","July 23, 2024","April 19, 2023","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lieutenant,Special Forces,"https://example4.com, https://example7.com, https://example4.com"
18,Serhiy Bibikov Volodymyrovych,"January 28, 1972","September 16, 2023","January 16, 2024",Zhytomyr Oblast,Lviv Oblast,Lieutenant,Recon Squad,"https://example7.com, https://example3.com, https://example9.com, https://example7.com, https://example6.com, https://example10.com"
19,Mykola Bibikov Mykolayovych,"March 10, 1999","October 23, 2022","December 01, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lieutenant,Infantry,"https://example10.com, https://example3.com, https://example4.com, https://example8.com, https://example3.com"
20,Yuriy Bondarenko Oleksandrovych,"April 02, 1977","May 26, 2024",?,Zhytomyr Oblast,Kharkiv Oblast,Sergeant,Battalion 2,"https://example5.com, https://example10.com, https://example9.com"
21,Oleksandr Lysenko Romanovych,"August 30, 1989","June 16, 2024","January 05, 2024",Lviv Oblast,Odesa Oblast,Senior soldier,Battalion 2,"https://example9.com, https://example4.com, https://example4.com"
22,Andrij Sakalo Romanovych,"May 06, 1985","April 30, 2022","January 16, 2022",Zhytomyr Oblast,Kharkiv Oblast,Major,Unknown,"https://example4.com, https://example2.com, https://example1.com, https://example5.com"
23,Volodymyr Zinchenko Serhiyovych,"January 25, 1989","January 19, 2024",?,Chernivtsi Oblast,Kharkiv Oblast,Major,Infantry,"https://example5.com, https://example3.com, https://example9.com, https://example5.com, https://example4.com"
24,Mykola Sakalo Vasyl'ovych,"March 30, 1981","February 04, 2023","November 13, 2023",Donetsk Oblast,Kyiv Oblast,Colonel,Special Forces,"https://example8.com, https://example2.com, https://example5.com, https://example5.com, https://example10.com, https://example4.com, https://example6.com"
25,Volodymyr Hrytsenko Vasyl'ovych,"February 26, 1985","May 24, 2022",?,Kharkiv Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Sergeant,Battalion 1,"https://example3.com, https://example10.com, https://example3.com"
26,Mykola Shevchenko Vasyl'ovych,"October 22, 1969","June 10, 2023","February 15, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Sergeant,Infantry,"https://example4.com, https://example8.com, https://example4.com, https://example3.com, https://example4.com, https://example6.com"
27,Yuriy Lysenko Mykolayovych,"October 29, 1997","September 25, 2023","December 20, 2023","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Lviv Oblast,Senior soldier,Battalion 1,"https://example9.com, https://example8.com, https://example1.com, https://example2.com, https://example6.com, https://example8.com, https://example2.com"
28,Oleksandr Bibikov Volodymyrovych,"May 15, 1971","January 13, 2023",?,Kharkiv Oblast,Odesa Oblast,Private,Battalion 2,"https://example2.com, https://example6.com, https://example8.com"
29,Oleh Zinchenko Volodymyrovych,"July 02, 1988","June 12, 2024","May 12, 2024","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Captain,Recon Squad,"https://example2.com, https://example9.com, https://example7.com, https://example6.com, https://example9.com, https://example10.com"
30,Roman Kovalenko Volodymyrovych,"December 11, 1989","April 04, 2024","September 15, 2024",Kyiv Oblast,Kyiv Oblast,Captain,Infantry,"https://example1.com, https://example7.com, https://example2.com, https://example6.com"
31,Ihor Sakalo Serhiyovych,"January 29, 1975","June 18, 2022",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Chernivtsi Oblast,Captain,Special Forces,"https://example10.com, https://example7.com, https://example8.com, https://example9.com, https://example7.com, https://example7.com"
32,Yuriy Zinchenko Vasyl'ovych,"April 19, 1999","June 07, 2023",?,Odesa Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Recon Squad,"https://example1.com, https://example4.com, https://example2.com, https://example5.com, https://example6.com, https://example5.com, https://example6.com"
33,Oleh Kovalenko Petrovych,"August 01, 1987","May 18, 2023",?,Odesa Oblast,Donetsk Oblast,Senior soldier,Battalion 2,"https://example3.com, https://example6.com, https://example6.com, https://example7.com, https://example9.com, https://example3.com"
34,Mykola Kovalenko Romanovych,"November 09, 1996","April 21, 2023","November 23, 2022",Kyiv Oblast,Donetsk Oblast,Sergeant,Unknown,"https://example4.com, https://example1.com, https://example4.com, https://example4.com, https://example3.com, https://example9.com"
35,Roman Tkachuk Ivanovych,"February 28, 1971","December 12, 2023",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Lviv Oblast,Private,Battalion 2,"https://example7.com, https://example9.com, https://example5.com, https://example7.com"
36,Oleksandr Kovalenko Serhiyovych,"June 18, 1968","March 06, 2023",?,Chernivtsi Oblast,"Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Private,Unknown,"https://example4.com, https://example9.com, https://example8.com, https://example10.com, https://example2.com, https://example9.com, https://example9.com"
37,Oleksandr Sakalo Mykhailovych,"March 20, 1970","May 09, 2023",?,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Donetsk Oblast,Colonel,Battalion 1,"https://example6.com, https://example6.com, https://example8.com, https://example2.com, https://example9.com"
38,Serhiy Kravchenko Mykolayovych,"July 17, 1976","November 09, 2022","February 11, 2022",Kharkiv Oblast,Kharkiv Oblast,Sergeant,Special Forces,"https://example10.com, https://example5.com, https://example5.com, https://example8.com, https://example3.com, https://example6.com, https://example9.com"
39,Oleksandr Zinchenko Serhiyovych,"February 23, 1969","March 28, 2022","April 14, 2022",Donetsk Oblast,Lviv Oblast,Major,Unknown,"https://example4.com, https://example1.com, https://example2.com"
40,Roman Kovalenko Volodymyrovych,"June 04, 1979","May 14, 2023",?,Donetsk Oblast,Kyiv Oblast,Sergeant,Unknown,"https://example4.com, https://example3.com, https://example4.com, https://example1.com, https://example9.com, https://example6.com, https://example3.com, https://example1.com"
41,Serhiy Kovalenko Mykhailovych,"June 15, 1979","September 14, 2024",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Captain,Special Forces,"https://example5.com, https://example7.com, https://example5.com, https://example10.com, https://example7.com"
42,Ihor Kovalenko Ivanovych,"February 23, 1987","February 24, 2024",?,Zhytomyr Oblast,Zhytomyr Oblast,Major,Unknown,"https://example3.com, https://example5.com, https://example7.com, https://example1.com, https://example9.com, https://example5.com"
43,Ihor Bibikov Romanovych,"February 25, 1980","July 12, 2022",?,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast","Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Special Forces,"https://example3.com, https://example1.com, https://example6.com, https://example4.com, https://example6.com, https://example10.com, https://example8.com"
44,Dmytro Kravchenko Oleksandrovych,"October 23, 1974","August 06, 2022",?,Odesa Oblast,Chernivtsi Oblast,Captain,Battalion 2,"https://example7.com, https://example7.com, https://example9.com"
45,Roman Hrytsenko Romanovych,"August 15, 1965","September 12, 2024","February 01, 2024",Odesa Oblast,Odesa Oblast,Colonel,Recon Squad,"https://example5.com, https://example7.com, https://example2.com, https://example3.com"
46,Oleksandr Lysenko Yuriyovych,"October 03, 1969","May 19, 2024",?,Odesa Oblast,Zhytomyr Oblast,Senior soldier,Battalion 1,"https://example10.com, https://example2.com, https://example5.com, https://example10.com"
47,Mykola Lysenko Oleksandrovych,"April 16, 1981","December 15, 2024",?,Kharkiv Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Private,Battalion 1,"https://example5.com, https://example6.com, https://example9.com, https://example6.com, https://example8.com, https://example7.com"
48,Volodymyr Lysenko Volodymyrovych,"October 04, 1964","March 04, 2024","February 07, 2022","Bilohirka, Velykooleksandrivska settlement community, Beryslav District, Kherson Oblast",Kyiv Oblast,Lieutenant,Battalion 2,"https://example7.com, https://example5.com, https://example4.com, https://example7.com, https://example10.com, https://example7.com"
49,Ihor Kovalenko Yuriyovych,"April 25, 1972","February 22, 2022","April 16, 2024",Chernivtsi Oblast,Donetsk Oblast,Major,Unknown,"https://example4.com, https://example4.com, https://example5.com, https://example8.com, https://example8.com, https://example1.com"
50,Roman Lysenko Mykhailovych,"April 18, 1986","May 22, 2022",?,Donetsk Oblast,"Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Private,Recon Squad,"https://example9.com, https://example8.com, https://example9.com, https://example8.com, https://example7.com, https://example8.com, https://example9.com"
51,Oleh Bondarenko Mykolayovych,"May 05, 1986","June 26, 2022","May 09, 2024",Chernivtsi Oblast,"Kropyvnyts'kyj, Kropyvnytska urban community, Kropyvnytskyi District, Kirovohrad Oblast",Senior soldier,Recon Squad,"https://example4.com, https://example10.com, https://example10.com"
52,Dmytro Zinchenko Oleksandrovych,"March 11, 1978","September 16, 2023",?,Odesa Oblast,Zhytomyr Oblast,Senior soldier,Battalion 1,"https://example4.com, https://example10.com, https://example6.com, https://example3.com, https://example2.com, https://example4.com, https://example3.com"
53,Mykola Zinchenko Romanovych,"March 05, 1981","December 13, 2024","August 28, 2024",Zhytomyr Oblast,Odesa Oblast,Sergeant,Infantry,"https://example4.com, https://example5.com, https://example9.com, https://example1.com, https://example5.com, https://example5.com, https://example10.com"
54,Ihor Lysenko Serhiyovych,"July 16, 1975","November 10, 2023","June 08, 2022","Horinchovo, Horinchivska rural community, Khust District, Zakarpattia Oblast",Donetsk Oblast,Major,Special Forces,"https://example2.com, https://example8.com, https://example2.com, https://example10.com, https://example4.com, https://example1.com, https://example7.com"
